id,OCCUPATION_42,Sex,Insee_code,is_student,ACTIVITY_TYPE,household,credential,age_2018,target
1,"csp_7_7","Male","01001",FALSE,"AT.2.1","ft4.3","dip1-3",65,"J"
2,"csp_4_3","Female","01004",FALSE,"AT.1.1","ft4.4","dip1-3",43,"J"
3,"csp_7_5","Female","01004",FALSE,"AT.2.1","ft4.4","dip1-7",80,"J"
4,"csp_5_6","Female","01004",FALSE,"AT.1.1","ft3.2","dip1-6",47,"P"
7,"csp_7_5","Male","01004",FALSE,"AT.2.1","ft4.4","dip1-2",72,"J"
8,"csp_5_5","Male","01004",FALSE,"AT.1.1","ft4.1","dip1-8",33,"J"
11,"csp_6_7","Female","01004",FALSE,"AT.1.1","ft3.2","dip1-3",40,"J"
16,"csp_8_4","Female","01004",TRUE,"AT.2.2","ft4.2","dip1-2",20,"J"
20,"csp_7_2","Male","01004",FALSE,"AT.2.1","ft4.3","dip3",61,"P"
22,"csp_5_6","Male","01004",FALSE,"AT.1.1","ft4.4","dip1-5",28,"P"
23,"csp_8_5","Female","01004",FALSE,"AT.2.5","ft4.2","dip1-1",53,"J"
24,"csp_8_5","Male","01004",TRUE,"AT.2.2","ft3.2","dip3",17,"J"
25,"csp_5_2","Female","01004",FALSE,"AT.1.1","ft4.1","dip1-2",42,"J"
28,"csp_7_7","Female","01005",FALSE,"AT.2.1","ft1.2","dip3",85,"J"
29,"csp_7_8","Female","01006",FALSE,"AT.2.1","ft3.2","dip3",83,"J"
30,"csp_7_8","Male","01007",FALSE,"AT.2.1","ft4.3","dip1-3",62,"J"
33,"csp_2_1","Male","01007",FALSE,"AT.1.1","ft1.1","dip1-3",55,"P"
34,"csp_4_3","Male","01007",FALSE,"AT.1.1","ft4.2","dip1-7",47,"J"
37,"csp_6_4","Male","01014",FALSE,"AT.1.1","ft4.4","dip1-3",24,"J"
38,"csp_6_5","Male","01014",FALSE,"AT.1.2","ft4.4","dip1-3",55,"P"
40,"csp_8_4","Female","01016",TRUE,"AT.2.2","ft1.2","dip1-5",24,"J"
42,"csp_8_4","Male","01021",TRUE,"AT.2.2","ft4.2","dip1-2",15,"J"
43,"csp_5_2","Female","01021",FALSE,"AT.1.1","ft4.1","dip1-6",35,"P"
44,"csp_6_4","Female","01021",FALSE,"AT.1.1","ft3.2","dip1-4",53,"J"
45,"csp_4_8","Male","01021",FALSE,"AT.1.1","ft4.1","dip1-5",30,"J"
48,"csp_2_1","Male","01022",FALSE,"AT.1.1","ft4.2","dip1-1",70,"P"
49,"csp_7_7","Female","01024",FALSE,"AT.2.1","ft1.2","dip2",65,"J"
50,"csp_5_2","Female","01024",FALSE,"AT.1.1","ft4.1","dip1-4",40,"J"
51,"csp_8_4","Male","01024",TRUE,"AT.2.2","ft4.1","dip1-2",16,"J"
52,"csp_7_7","Male","01024",FALSE,"AT.2.1","ft4.3","dip1-3",65,"P"
54,"csp_5_4","Female","01025",FALSE,"AT.1.1","ft4.1","dip3",44,"P"
55,"csp_6_4","Male","01025",FALSE,"AT.1.2","ft1.1","dip1-3",53,"J"
56,"csp_7_7","Male","01025",FALSE,"AT.2.1","ft4.4","dip1-4",71,"J"
59,"csp_7_5","Female","01025",FALSE,"AT.2.1","ft1.2","dip1-2",68,"J"
60,"csp_4_6","Male","01026",FALSE,"AT.1.1","ft3.1","dip1-6",39,"P"
61,"csp_5_4","Male","01026",FALSE,"AT.1.2","ft4.4","dip1-6",26,"P"
62,"csp_7_8","Male","01027",FALSE,"AT.2.1","ft4.3","dip1-3",67,"P"
63,"csp_7_8","Female","01027",FALSE,"AT.2.1","ft4.4","dip1-1",81,"P"
64,"csp_7_2","Female","01027",FALSE,"AT.2.1","ft1.2","dip2",76,"J"
67,"csp_5_3","Male","01027",FALSE,"AT.1.1","ft4.1","dip1-4",49,"J"
70,"csp_6_3","Male","01027",FALSE,"AT.1.1","ft4.1","dip1-3",29,"P"
71,"csp_7_4","Male","01027",FALSE,"AT.2.1","ft4.4","dip1-2",71,"J"
73,"csp_6_4","Male","01028",FALSE,"AT.1.1","ft4.2","dip1-3",62,"P"
74,"csp_7_5","Male","01029",FALSE,"AT.2.1","ft4.4","dip1-3",78,"P"
76,"csp_4_7","Male","01031",FALSE,"AT.1.1","ft4.2","dip1-6",35,"J"
77,"csp_8_5","Male","01031",FALSE,"AT.2.5","ft3.1","dip1",22,"J"
78,"csp_8_6","Female","01031",FALSE,"AT.2.1","ft3.2","dip1-1",78,"J"
81,"csp_6_8","Female","01033",FALSE,"AT.1.1","ft4.1","dip1-3",50,"P"
85,"csp_6_7","Male","01033",FALSE,"AT.1.1","ft4.1","dip1-3",56,"J"
86,"csp_6_7","Male","01033",FALSE,"AT.1.2","ft4.3","dip3",43,"J"
90,"csp_7_8","Male","01033",FALSE,"AT.2.1","ft4.4","dip1-1",86,"J"
91,"csp_8_5","Male","01033",TRUE,"AT.2.2","ft4.4","dip3",16,"J"
93,"csp_7_8","Female","01033",FALSE,"AT.2.1","ft1.2","dip1-1",84,"P"
95,"csp_5_2","Female","01033",FALSE,"AT.1.1","ft4.1","dip1-3",51,"P"
96,"csp_4_2","Male","01033",FALSE,"AT.1.1","ft4.1","dip1-7",47,"P"
97,"csp_7_7","Male","01033",FALSE,"AT.2.1","ft4.4","dip1-2",66,"J"
98,"csp_5_6","Male","01033",FALSE,"AT.1.1","ft1.1","dip3",40,"J"
99,"csp_3_3","Female","01033",FALSE,"AT.1.1","ft4.1","dip1-7",51,"J"
106,"csp_7_4","Female","01034",FALSE,"AT.2.1","ft4.4","dip1-4",76,"P"
110,"csp_7_8","Male","01034",FALSE,"AT.2.1","ft2.0","dip1-6",62,"J"
112,"csp_5_4","Female","01034",FALSE,"AT.1.1","ft4.4","dip1-4",62,"P"
113,"csp_8_5","Female","01034",FALSE,"AT.2.5","ft1.2","dip1-6",61,"J"
117,"csp_8_4","Female","01034",TRUE,"AT.2.2","ft4.3","dip1-2",15,"J"
122,"csp_8_6","Female","01040",FALSE,"AT.2.1","ft1.2","dip1-4",87,"J"
124,"csp_6_2","Male","01041",FALSE,"AT.1.1","ft4.1","dip3",48,"J"
125,"csp_3_1","Male","01041",FALSE,"AT.1.1","ft1.1","dip1-6",71,"J"
129,"csp_8_4","Male","01043",TRUE,"AT.2.2","ft4.1","dip1-2",15,"J"
130,"csp_7_7","Female","01043",FALSE,"AT.2.1","ft1.2","dip1-1",91,"J"
131,"csp_6_4","Male","01043",FALSE,"AT.1.1","ft1.1","dip1-3",46,"J"
132,"csp_7_7","Female","01043",FALSE,"AT.2.1","ft4.4","dip2",86,"J"
134,"csp_4_6","Female","01043",FALSE,"AT.1.1","ft4.1","dip1-8",37,"J"
136,"csp_3_1","Female","01043",FALSE,"AT.1.1","ft3.2","dip1-8",57,"J"
137,"csp_8_5","Female","01043",FALSE,"AT.2.4","ft4.2","dip1-2",40,"J"
143,"csp_3_4","Female","01049",FALSE,"AT.1.1","ft1.2","dip1-7",44,"J"
144,"csp_6_2","Male","01049",FALSE,"AT.1.1","ft1.1","dip1-3",46,"J"
151,"csp_4_5","Female","01053",FALSE,"AT.1.1","ft4.1","dip1-7",54,"J"
154,"csp_7_8","Male","01053",FALSE,"AT.2.1","ft4.4","dip1",87,"J"
157,"csp_5_6","Male","01053",FALSE,"AT.1.1","ft4.1","dip1-3",25,"J"
160,"csp_6_3","Male","01053",FALSE,"AT.1.2","ft1.1","dip1-3",44,"J"
161,"csp_7_1","Male","01053",FALSE,"AT.2.1","ft2.0","dip1-2",81,"J"
163,"csp_7_5","Male","01053",FALSE,"AT.2.1","ft4.4","dip1-3",74,"J"
164,"csp_6_2","Female","01053",FALSE,"AT.1.1","ft1.2","dip1-6",52,"J"
165,"csp_4_2","Female","01053",TRUE,"AT.1.1","ft4.3","dip1-7",51,"J"
166,"csp_4_8","Male","01053",FALSE,"AT.1.1","ft4.1","dip1-4",40,"J"
167,"csp_5_4","Female","01053",FALSE,"AT.1.1","ft3.2","dip1-7",49,"P"
168,"csp_4_7","Male","01053",FALSE,"AT.1.1","ft4.2","dip1-4",36,"J"
169,"csp_6_4","Male","01053",FALSE,"AT.1.1","ft4.1","dip1-3",72,"J"
171,"csp_8_1","Female","01053",FALSE,"AT.1.2","ft3.2","dip1-4",27,"J"
178,"csp_6_2","Male","01053",FALSE,"AT.1.2","ft4.1","dip1-2",25,"J"
181,"csp_1_1","Male","01053",FALSE,"AT.1.1","ft4.1","dip1-6",50,"P"
182,"csp_2_1","Male","01053",FALSE,"AT.1.1","ft1.1","dip3",28,"J"
183,"csp_7_7","Female","01053",FALSE,"AT.2.1","ft1.2","dip1-1",59,"P"
184,"csp_5_2","Female","01053",FALSE,"AT.1.1","ft4.3","dip1-2",49,"J"
185,"csp_8_6","Female","01053",FALSE,"AT.2.4","ft4.4","dip1-1",81,"J"
187,"csp_7_7","Male","01053",FALSE,"AT.2.1","ft4.4","dip1-1",73,"P"
188,"csp_6_8","Male","01053",FALSE,"AT.1.1","ft1.1","dip1-3",47,"P"
193,"csp_6_7","Female","01053",FALSE,"AT.1.1","ft4.1","dip1-3",35,"P"
194,"csp_4_6","Female","01053",FALSE,"AT.1.1","ft4.1","dip1-8",37,"J"
196,"csp_4_7","Male","01053",FALSE,"AT.1.1","ft1.1","dip1-5",34,"J"
198,"csp_4_3","Female","01053",FALSE,"AT.1.1","ft4.1","dip1-7",32,"J"
199,"csp_4_2","Male","01053",FALSE,"AT.1.1","ft4.1","dip1-8",50,"J"
202,"csp_8_1","Female","01053",FALSE,"AT.1.2","ft3.2","dip1-4",42,"J"
204,"csp_5_4","Female","01053",FALSE,"AT.1.1","ft4.1","dip1-5",39,"P"
205,"csp_5_4","Female","01053",FALSE,"AT.1.1","ft3.2","dip1-6",59,"P"
206,"csp_4_2","Female","01053",FALSE,"AT.1.1","ft4.1","dip1-7",51,"J"
207,"csp_6_2","Male","01053",FALSE,"AT.1.1","ft1.1","dip1-6",28,"J"
208,"csp_5_2","Male","01053",FALSE,"AT.1.1","ft4.1","dip1-3",56,"J"
209,"csp_7_2","Female","01053",FALSE,"AT.2.1","ft1.2","dip1-1",101,"J"
212,"csp_5_5","Female","01053",FALSE,"AT.1.2","ft4.2","dip1-7",38,"J"
213,"csp_3_7","Male","01053",FALSE,"AT.1.1","ft4.1","dip1-8",43,"J"
214,"csp_2_1","Female","01053",FALSE,"AT.1.1","ft4.1","dip1-4",29,"J"
215,"csp_4_6","Male","01053",FALSE,"AT.1.1","ft4.2","dip1-4",64,"P"
216,"csp_5_2","Female","01053",FALSE,"AT.1.1","ft4.1","dip1-2",55,"J"
217,"csp_3_4","Female","01053",FALSE,"AT.1.1","ft1.2","dip1-8",44,"J"
220,"csp_4_2","Male","01053",FALSE,"AT.1.1","ft4.1","dip1-8",55,"J"
221,"csp_8_5","Female","01053",FALSE,"AT.2.5","ft3.2","dip3",56,"J"
222,"csp_2_2","Male","01053",FALSE,"AT.1.1","ft4.2","dip1-7",48,"P"
223,"csp_7_1","Male","01053",FALSE,"AT.2.1","ft4.4","dip2",80,"J"
225,"csp_6_5","Female","01053",FALSE,"AT.1.2","ft3.2","dip1-5",38,"J"
226,"csp_2_2","Female","01054",FALSE,"AT.1.2","ft4.3","dip2",44,"J"
232,"csp_3_3","Female","01057",FALSE,"AT.1.1","ft4.1","dip1-8",36,"J"
238,"csp_5_2","Female","01061",FALSE,"AT.1.1","ft4.1","dip3",36,"P"
240,"csp_2_2","Female","01062",FALSE,"AT.1.1","ft4.1","dip1-4",56,"J"
241,"csp_8_1","Female","01062",FALSE,"AT.1.2","ft4.2","dip1-8",27,"J"
242,"csp_7_8","Male","01063",FALSE,"AT.2.1","ft4.4","dip1-1",77,"P"
244,"csp_5_6","Female","01064",FALSE,"AT.1.1","ft3.2","dip1-3",31,"P"
245,"csp_6_4","Male","01069",FALSE,"AT.1.1","ft1.1","dip1-3",42,"J"
247,"csp_4_8","Male","01071",FALSE,"AT.1.1","ft4.1","dip1-5",47,"P"
248,"csp_3_5","Male","01071",FALSE,"AT.1.1","ft4.1","dip1-6",42,"J"
251,"csp_7_8","Male","01072",FALSE,"AT.2.1","ft4.4","dip1-3",77,"P"
252,"csp_5_2","Female","01073",FALSE,"AT.1.1","ft4.1","dip1-3",50,"J"
253,"csp_2_1","Male","01074",FALSE,"AT.1.1","ft4.1","dip1-3",70,"P"
254,"csp_4_5","Female","01074",FALSE,"AT.1.1","ft4.1","dip1-6",36,"J"
259,"csp_7_7","Female","01075",FALSE,"AT.2.1","ft1.2","dip1-1",65,"P"
261,"csp_6_7","Male","01075",FALSE,"AT.1.1","ft4.2","dip3",59,"P"
262,"csp_4_6","Female","01075",FALSE,"AT.1.1","ft4.1","dip1-4",28,"J"
264,"csp_8_4","Female","01077",TRUE,"AT.2.2","ft4.1","dip1-2",19,"J"
265,"csp_1_1","Female","01078",FALSE,"AT.1.1","ft4.1","dip1-6",37,"P"
266,"csp_7_2","Female","01081",FALSE,"AT.2.1","ft1.2","dip1-2",92,"J"
267,"csp_2_1","Male","01082",FALSE,"AT.1.1","ft4.1","dip1-1",56,"J"
269,"csp_4_6","Female","01090",FALSE,"AT.1.1","ft4.1","dip1-6",31,"J"
270,"csp_7_7","Female","01092",FALSE,"AT.2.1","ft4.4","dip1-3",73,"P"
278,"csp_7_7","Female","01093",FALSE,"AT.2.1","ft3.2","dip1-4",70,"P"
280,"csp_5_4","Female","01093",FALSE,"AT.1.2","ft4.4","dip1-3",64,"J"
282,"csp_6_4","Male","01095",FALSE,"AT.1.1","ft4.2","dip3",32,"J"
284,"csp_8_6","Female","01096",FALSE,"AT.2.5","ft1.2","dip1-1",61,"J"
289,"csp_3_1","Male","01098",FALSE,"AT.1.1","ft4.1","dip1-8",57,"J"
291,"csp_6_7","Male","01099",FALSE,"AT.1.1","ft4.2","dip1-6",55,"J"
297,"csp_7_8","Male","01105",FALSE,"AT.2.1","ft2.0","dip1-2",89,"J"
300,"csp_8_4","Female","01109",TRUE,"AT.2.2","ft4.2","dip1-4",24,"J"
302,"csp_6_9","Male","01112",FALSE,"AT.1.1","ft4.1","dip1-4",30,"J"
303,"csp_5_5","Female","01113",FALSE,"AT.1.1","ft4.1","dip1-6",35,"J"
305,"csp_6_3","Male","01114",FALSE,"AT.1.2","ft1.1","dip1-3",48,"J"
306,"csp_8_4","Male","01115",TRUE,"AT.2.2","ft3.1","dip1-2",21,"J"
307,"csp_4_3","Female","01115",TRUE,"AT.1.2","ft4.1","dip1-5",18,"J"
309,"csp_1_1","Male","01116",FALSE,"AT.1.1","ft4.1","dip1-5",58,"J"
310,"csp_5_2","Female","01118",FALSE,"AT.1.1","ft1.2","dip1-6",49,"P"
311,"csp_3_4","Female","01118",FALSE,"AT.1.1","ft4.1","dip1-8",51,"J"
312,"csp_7_5","Male","01124",FALSE,"AT.2.1","ft1.1","dip1-5",63,"P"
313,"csp_8_5","Female","01125",FALSE,"AT.2.4","ft4.2","dip3",46,"J"
314,"csp_8_4","Male","01127",TRUE,"AT.2.2","ft4.3","dip1-4",19,"J"
315,"csp_7_8","Male","01129",FALSE,"AT.2.1","ft4.3","dip1-3",62,"P"
316,"csp_7_8","Female","01130",FALSE,"AT.2.1","ft4.4","dip1-1",88,"J"
317,"csp_6_5","Male","01130",FALSE,"AT.1.1","ft4.1","dip1-3",53,"J"
320,"csp_7_5","Female","01134",FALSE,"AT.2.1","ft1.2","dip1-8",88,"J"
321,"csp_4_3","Female","01135",FALSE,"AT.1.1","ft3.2","dip1-6",63,"P"
