id,Job_desc,ECO_SECT,WORK_CONDITION,type_of_contract,Labor_force_status,job_dep,Working_hours,earnings,employer_type,EMPLOYEE_COUNT
2,"431f","QA","C","CDI","O","69",1903,32834,"ct_9","tr_5"
4,"563a","QB","N","CDI","O","01",3000,13532,"ct_7","tr_1"
8,"554b","GZ","C","CDI","O","01",1441,16865,"ct_9","tr_1"
11,"676e","QB","C","AUT","O","01",1352,6424,"ct_8","tr_5"
22,"561b","MA","C","CDI","O","01",1200,8094,"ct_9","tr_1"
25,"526e","QA","C","CDI","O","73",2091,21805,"ct_9","tr_2"
37,"641a","NZ","N","TTP","O","01",1155,13129,"ct_9","tr_1"
43,"525d","QB","P","CDI","O","01",1443,16301,"ct_8","tr_3"
45,"486e","NZ","C","CDI","O","69",1412,21741,"ct_9","tr_6"
50,"526d","QB","C","CDI","O","01",1814,16823,"ct_8","tr_4"
54,"543g","OZ","C","CDD","O","01",1517,16626,"ct_1","tr_3"
60,"466c","MA","C","CDI","O","01",2028,29588,"ct_9","tr_1"
67,"534a","NZ","C","CDI","O","01",239,2049,NA,"tr_4"
70,"634c","GZ","C","CDI","O","01",1881,21289,"ct_9","tr_1"
73,"641a","HZ","C","CDI","O","01",1820,25934,"ct_9","tr_1"
76,"477a","GZ","C","CDI","O","73",1720,22414,"ct_9","tr_1"
81,"684a","LZ","P","CDI","O","01",1545,14390,"ct_5","tr_4"
85,"676c","CA","C","CDI","O","01",684,4572,"ct_9","tr_5"
95,"525d","QA","C","CDI","O","01",1983,22739,"ct_3","tr_6"
96,"422c","PZ","P","CDI","O","01",1526,16830,"ct_8","tr_3"
112,"542a","FZ","P","CDI","O","01",810,9749,"ct_9","tr_0"
124,"621b","FZ","C","CDI","O","69",1750,24538,"ct_9","tr_6"
131,"643a","MC","C","AUT","O","01",347,2692,NA,NA
134,"463e","MC","P","CDI","O","92",1764,39576,"ct_9","tr_6"
144,"623b","CH","C","CDI","O","01",1016,25124,"ct_9","tr_5"
151,"451a","HZ","C","CDI","O","69",1729,20389,"ct_9","tr_6"
157,"561b","IZ","C","CDI","O","01",1620,17388,"ct_9","tr_3"
164,"628g","CH","C","AUT","X","74",1389,24222,"ct_9","tr_6"
165,"421b","QB","C","CDI","O","01",1820,29855,"ct_8","tr_4"
166,"485a","HZ","C","CDI","O","01",1772,47576,"ct_9","tr_4"
167,"545c","KZ","C","CDI","O","69",1771,25308,"ct_9","tr_3"
168,"473b","MA","C","CDD","O","68",1184,20312,"ct_9","tr_3"
169,"642b","HZ","P","CDI","O","01",472,7102,"ct_5","tr_3"
184,"526a","QB","C","CDI","O","01",1598,14346,"ct_9","tr_4"
188,"684b","EZ","C","CDI","O","01",1820,20728,"ct_9","tr_1"
193,"676d","HZ","C","CDI","O","01",1668,12827,"ct_9","tr_2"
194,"462e","LZ","P","CDI","O","71",304,3672,"ct_5","tr_6"
196,"477b","CA","C","CDI","O","01",1947,29102,"ct_9","tr_5"
198,"433d","QA","C","CDI","O","69",619,6541,"ct_8","tr_6"
199,"423b","CJ","C","CDI","O","01",1919,30116,"ct_9","tr_5"
204,"543f","NZ","C","CDI","O","01",1967,21462,"ct_9","tr_5"
205,"542a","QB","C","CDI","O","01",1822,21127,"ct_8","tr_3"
206,"421b","QB","C","CDI","O","01",1820,28962,"ct_8","tr_4"
207,"621c","EZ","C","CDI","O","01",1823,55342,"ct_9","tr_3"
213,"374d","CC","C","CDI","O","38",1820,52197,"ct_9","tr_5"
215,"463e","FZ","C","CDI","O","01",1646,21702,"ct_9","tr_2"
216,"526a","QB","C","CDI","O","71",1744,20299,"ct_8","tr_4"
220,"423b","PZ","C","CDI","O","38",1820,26380,"ct_8","tr_3"
232,"333c","HZ","C","CDI","O","01",1820,25018,"ct_9","tr_1"
238,"525d","QB","P","CDI","O","01",1482,17842,"ct_3","tr_5"
244,"563b","QB","N","CDI","O","69",2323,20675,"ct_7","tr_1"
245,"641a","HZ","C","CDI","O","38",2200,27099,"ct_9","tr_4"
247,"485a","DZ","C","CDI","O","01",1954,39134,"ct_9","tr_3"
248,"353b","RZ","P","CDI","O","01",364,8611,"ct_8","tr_1"
252,"523c","OZ","P","AUT","O","69",1454,19537,"ct_2","tr_6"
254,"451g","OZ","C","CDI","O","01",1820,21167,"ct_2","tr_6"
261,"676d","HZ","C","CDI","O","01",1771,21041,"ct_9","tr_5"
262,"461f","SZ","C","CDI","O","01",1790,19436,"ct_8","tr_1"
269,"462e","RZ","C","CDI","O","69",992,22321,"ct_8","tr_3"
282,"641a","HZ","C","CDI","O","01",2130,21802,"ct_9","tr_4"
291,"673c","CL","C","CDI","O","69",1846,13194,"ct_9","tr_4"
302,"691a","NZ","C","CDI","O","69",1986,25280,"ct_9","tr_5"
303,"551a","GZ","C","CDI","O","01",863,9899,"ct_9","tr_2"
310,"526a","QA","C","CDI","O","01",1843,16267,"ct_8","tr_4"
311,"341a","PZ","C","CDI","O","01",1820,27118,"ct_8","tr_5"
317,"652a","HZ","C","CDI","O","01",1977,23472,"ct_9","tr_5"
321,"435b","QB","P","CDI","O","01",1445,14361,"ct_8","tr_4"
323,"674a","CG","C","CDI","O","01",1739,14136,"ct_9","tr_3"
328,"534a","QB","C","CDI","O","69",3000,34917,"ct_8","tr_3"
331,"554a","GZ","C","CDI","O","01",1792,18040,"ct_9","tr_5"
333,"521a","HZ","C","CDI","O","71",152,1418,NA,NA
343,"526a","QA","C","CDI","O","01",1243,18779,"ct_8","tr_6"
358,"525d","QB","C","CDI","O","01",1820,14414,"ct_8","tr_4"
362,"344d","GZ","P","CDI","O","01",2287,46237,"ct_9","tr_1"
371,"466c","HZ","C","CDI","O","01",1981,27288,"ct_9","tr_5"
373,"431a","OZ","C","AUT","O","01",1813,24650,"ct_2","tr_4"
376,"681b","FZ","C","CDI","O","01",1820,18130,"ct_9","tr_1"
390,"632k","QB","P","CDI","O","01",1656,13724,"ct_8","tr_3"
396,"423a","PZ","C","CDI","O","01",1638,26140,"ct_9","tr_1"
427,"473c","CH","C","CDI","O","01",1958,32857,"ct_9","tr_5"
432,"561d","IZ","P","CDI","O","38",838,9385,"ct_9","tr_3"
436,"373c","JC","C","CDI","O","01",1571,59742,"ct_9","tr_2"
437,"684b","EZ","C","CDI","O","01",1820,21608,"ct_9","tr_1"
438,"625g","CA","C","CDI","O","01",1702,19227,"ct_9","tr_3"
444,"627e","CH","C","CDI","O","71",1920,27406,"ct_9","tr_4"
451,"684a","NZ","C","CDI","O","01",1785,18490,"ct_9","tr_5"
454,"525d","QB","C","CDI","O","01",1229,11256,"ct_9","tr_3"
455,"691e","NZ","P","AUT","X","01",1628,12496,"ct_8","tr_3"
456,"461d","LZ","C","CDI","O","69",1820,23770,"ct_9","tr_5"
465,"462e","CC","C","CDI","O","69",1536,23255,"ct_9","tr_2"
478,"624c","CL","C","CDI","O","01",1914,22099,"ct_9","tr_6"
485,"564a","LZ","C","CDI","O","01",1657,16539,"ct_5","tr_5"
498,"561b","IZ","C","CDI","O","01",1481,11505,"ct_9","tr_1"
499,"625a","CA","C","CDI","O","01",1820,32975,"ct_9","tr_5"
501,"376g","LZ","C","CDI","O","01",1491,22533,"ct_9","tr_1"
507,"561f","IZ","C","CDI","O","01",1261,8823,"ct_9","tr_5"
522,"676c","GZ","C","CDI","O","71",1957,25764,"ct_9","tr_6"
525,"451a","HZ","P","CDI","O","69",1468,16074,"ct_9","tr_6"
530,"388b","JC","C","CDI","O","78",1813,50637,"ct_9","tr_6"
533,"543b","NZ","C","CDI","O","01",1764,49540,"ct_9","tr_3"
537,"526a","QA","C","CDI","O","01",1820,21952,"ct_3","tr_6"
552,"431d","QA","C","AUT","O","69",1820,36922,"ct_3","tr_6"
559,"551a","GZ","P","CDI","O","01",302,9686,"ct_9","tr_4"
560,"376g","LZ","P","CDI","O","01",1414,22504,"ct_5","tr_6"
579,"353c","RZ","P","CDD","O","75",274,7665,NA,NA
583,"374c","CE","C","CDI","O","92",400,48548,"ct_9","tr_4"
595,"431d","QA","C","CDI","O","01",1766,26028,"ct_8","tr_6"
603,"532c","OZ","N","AUT","O","36",NA,10365,"ct_1","tr_6"
608,"486e","QB","C","CDI","O","01",1820,24003,"ct_8","tr_4"
610,"525d","QA","C","CDI","O","01",1820,16294,"ct_3","tr_6"
618,"526a","QA","P","CDI","O","01",1229,18767,"ct_6","tr_1"
622,"526a","QA","C","CDD","O","73",1042,13701,"ct_3","tr_6"
628,"676e","NZ","C","TTP","O","01",435,5849,"ct_9","tr_1"
643,"681a","FZ","C","CDI","O","01",1764,14420,"ct_9","tr_2"
644,"526d","QB","C","CDI","O","01",1674,22264,"ct_8","tr_3"
649,"676c","HZ","C","CDI","O","69",1625,16013,"ct_9","tr_5"
651,"641a","NZ","C","CDI","O","25",2049,25583,"ct_9","tr_3"
662,"683a","CA","C","APP","A","01",908,3197,"ct_9","tr_1"
666,"526a","QA","P","CDI","O","01",576,6153,"ct_8","tr_6"
670,"532a","OZ","C","AUT","O","36",2028,22020,"ct_1","tr_6"
672,"543b","CC","C","CDI","O","01",2013,29973,"ct_9","tr_2"
673,"421b","PZ","C","CDI","O","01",1820,29476,"ct_8","tr_3"
677,"551a","GZ","C","CDI","O","01",1714,35240,"ct_9","tr_1"
684,"526b","MC","C","CDI","O","01",2028,32597,"ct_9","tr_1"
