id,BEFORE_OCCUPATION_42,before_emp_contract,retirement_age
1,"csp_5_2","emp-1-6",65
3,"csp_4_3","emp-2-1",60
7,"csp_4_8","emp-1-6",56
20,"csp_2_1","emp-2-1",55
28,"csp_5_6","emp-1-6",65
29,"csp_6_2","emp-1-5",60
30,"csp_6_5","emp-1-6",60
49,"csp_5_4","emp-1-6",60
52,"csp_5_2","emp-1-6",58
56,"csp_5_6","emp-1-6",60
59,"csp_4_7","emp-1-6",60
62,"csp_6_3","emp-1-6",63
63,"csp_6_7","emp-1-6",60
64,"csp_2_3","emp-2-2",63
71,"csp_3_5","emp-1-5",63
74,"csp_4_7","emp-1-6",60
90,"csp_6_7","emp-1-5",65
93,"csp_6_7","emp-1-6",58
97,"csp_5_5","emp-1-6",65
106,"csp_3_4","emp-1-6",60
110,"csp_6_2","emp-1-5",60
130,"csp_5_6","emp-1-6",60
132,"csp_5_4","emp-1-6",65
154,"csp_6_3","emp-1-6",59
161,"csp_1_3","emp-2-2",57
163,"csp_4_2","emp-2-1",60
183,"csp_5_4","emp-1-6",59
187,"csp_5_2","emp-1-6",60
209,"csp_2_2","emp-2-2",60
223,"csp_1_3","emp-2-2",60
242,"csp_6_7","emp-1-6",60
251,"csp_6_8","emp-1-6",60
259,"csp_5_2","emp-1-6",61
266,"csp_2_2","emp-2-2",60
270,"csp_5_2","emp-1-6",61
278,"csp_5_2","emp-1-6",60
297,"csp_6_2","emp-1-6",58
312,"csp_4_3","emp-1-6",58
315,"csp_6_4","emp-1-6",62
316,"csp_6_3","emp-1-6",60
320,"csp_4_5","emp-1-6",60
326,"csp_4_8","emp-1-6",64
335,"csp_6_8","emp-1-6",58
336,"csp_4_6","emp-2-1",60
339,"csp_2_2","emp-2-1",55
346,"csp_6_3","emp-1-6",60
351,"csp_4_8","emp-1-6",59
357,"csp_4_6","emp-1-6",53
359,"csp_5_2","emp-1-6",65
375,"csp_2_1","emp-2-1",60
385,"csp_4_5","emp-1-6",60
394,"csp_6_8","emp-1-6",60
395,"csp_5_4","emp-1-5",60
399,"csp_4_2","emp-1-5",60
408,"csp_2_2","emp-2-1",60
412,"csp_5_6","emp-1-5",60
416,"csp_6_7","emp-1-6",60
418,"csp_5_3","emp-1-6",60
421,"csp_6_4","emp-1-6",56
423,"csp_5_6","emp-1-6",65
426,"csp_4_6","emp-1-6",65
471,"csp_2_1","emp-2-1",65
479,"csp_6_3","emp-1-6",64
482,"csp_6_3","emp-1-2",57
483,"csp_2_2","emp-2-1",62
484,"csp_3_1","emp-2-2",50
491,"csp_5_5","emp-1-6",65
493,"csp_6_8","emp-1-6",60
500,"csp_5_5","emp-1-6",60
506,"csp_2_2","emp-2-2",64
508,"csp_3_7","emp-1-6",55
512,"csp_5_4","emp-1-6",60
513,"csp_5_4","emp-1-6",62
526,"csp_5_6","emp-1-6",60
538,"csp_6_2","emp-1-6",60
549,"csp_5_4","emp-1-6",60
566,"csp_6_3","emp-1-6",60
567,"csp_5_2","emp-1-6",60
568,"csp_6_7","emp-1-6",60
582,"csp_5_6","emp-1-6",66
587,"csp_4_8","emp-1-6",60
591,"csp_6_4","emp-1-6",60
592,"csp_6_8","emp-1-6",60
596,"csp_5_3","emp-1-6",55
597,"csp_4_6","emp-1-6",65
602,"csp_4_8","emp-1-6",60
604,"csp_4_3","emp-1-6",60
609,"csp_6_8","emp-1-6",60
615,"csp_5_2","emp-1-6",59
619,"csp_6_4","emp-1-6",60
625,"csp_6_8","emp-1-2",60
627,"csp_6_8","emp-1-6",64
646,"csp_6_5","emp-1-6",61
647,"csp_2_2","emp-2-1",65
657,"csp_1_1","emp-2-1",60
661,"csp_6_8","emp-1-6",63
664,"csp_6_8","emp-1-6",60
665,"csp_4_8","emp-1-6",64
675,"csp_2_2","emp-2-1",60
676,"csp_6_3","emp-1-6",57
683,"csp_5_5","emp-1-5",60
686,"csp_3_8","emp-1-6",55
688,"csp_3_1","emp-1-6",54
695,"csp_3_4","emp-1-6",65
697,"csp_6_2","emp-1-6",60
706,"csp_3_3","emp-1-6",60
721,"csp_5_5","emp-1-6",60
723,"csp_5_6","emp-1-5",65
729,"csp_6_5","emp-1-6",55
748,"csp_3_7","emp-1-6",60
750,"csp_4_7","emp-1-6",54
751,"csp_5_2","emp-1-6",60
755,"csp_6_3","emp-1-6",60
775,"csp_6_3","emp-1-6",56
777,"csp_5_4","emp-1-6",60
789,"csp_5_5","emp-1-6",65
790,"csp_6_9","emp-1-6",60
791,"csp_6_7","emp-1-6",62
826,"csp_5_4","emp-1-6",60
849,"csp_6_3","emp-1-6",60
851,"csp_3_4","emp-1-6",60
857,"csp_5_3","emp-1-6",60
858,"csp_6_2","emp-1-6",60
864,"csp_2_1","emp-2-2",60
865,"csp_5_4","emp-1-6",63
873,"csp_6_8","emp-1-6",60
877,"csp_4_6","emp-1-6",60
879,"csp_5_6","emp-1-6",60
882,"csp_6_7","emp-1-6",57
889,"csp_5_4","emp-1-6",65
906,"csp_4_2","emp-1-6",60
913,"csp_1_3","emp-2-2",60
916,"csp_1_3","emp-2-2",65
918,"csp_5_2","emp-1-6",60
920,"csp_4_5","emp-1-6",60
923,"csp_4_5","emp-1-6",60
927,"csp_5_2","emp-1-6",66
932,"csp_5_6","emp-1-5",60
935,"csp_5_4","emp-1-6",60
943,"csp_5_6","emp-1-6",60
954,"csp_6_7","emp-1-6",59
962,"csp_5_5","emp-1-6",60
980,"csp_6_7","emp-1-6",60
989,"csp_6_3","emp-1-6",65
990,"csp_2_1","emp-2-2",61
996,"csp_2_3","emp-2-2",56
997,"csp_6_2","emp-1-6",59
1002,"csp_2_1","emp-2-1",65
1003,"csp_2_2","emp-2-1",60
1011,"csp_6_7","emp-1-6",60
1014,"csp_6_3","emp-1-6",60
1017,"csp_3_1","emp-2-2",60
1024,"csp_6_5","emp-1-6",60
1026,"csp_5_2","emp-1-6",60
1035,"csp_6_3","emp-1-6",60
1041,"csp_5_6","emp-1-6",65
1047,"csp_6_5","emp-1-6",60
1055,"csp_5_5","emp-1-6",63
1064,"csp_6_8","emp-1-5",60
1065,"csp_6_4","emp-1-6",60
1066,"csp_4_5","emp-1-6",60
1079,"csp_3_3","emp-1-6",65
1081,"csp_3_8","emp-1-6",60
1098,"csp_2_1","emp-2-2",58
1111,"csp_6_7","emp-1-6",57
1113,"csp_3_3","emp-1-6",64
1124,"csp_3_1","emp-2-1",60
1178,"csp_4_3","emp-2-1",60
1184,"csp_6_4","emp-1-6",56
1187,"csp_2_2","emp-2-3",60
1190,"csp_6_2","emp-1-6",60
1195,"csp_6_2","emp-1-6",60
1223,"csp_6_8","emp-1-6",58
1227,"csp_6_2","emp-1-5",60
1229,"csp_4_6","emp-1-6",55
1238,"csp_5_2","emp-1-6",59
1271,"csp_6_8","emp-1-6",65
1279,"csp_3_3","emp-1-6",56
1292,"csp_6_3","emp-1-5",60
1293,"csp_1_1","emp-2-1",60
1300,"csp_5_6","emp-1-6",60
1328,"csp_5_2","emp-1-6",60
1331,"csp_6_8","emp-1-6",54
1334,"csp_6_9","emp-1-6",60
1342,"csp_5_4","emp-1-6",60
1345,"csp_5_2","emp-1-6",60
1351,"csp_4_5","emp-1-6",60
1361,"csp_6_8","emp-1-6",61
1365,"csp_4_7","emp-1-6",60
1369,"csp_6_2","emp-1-6",60
1370,"csp_5_4","emp-1-6",60
1375,"csp_4_6","emp-1-6",60
1376,"csp_1_1","emp-2-1",60
1390,"csp_3_8","emp-1-6",62
1421,"csp_5_2","emp-1-6",61
1422,"csp_5_6","emp-1-5",55
1431,"csp_6_2","emp-1-2",65
1439,"csp_5_2","emp-1-6",57
1441,"csp_5_6","emp-1-6",60
1444,"csp_3_7","emp-1-6",65
1469,"csp_5_4","emp-1-5",60
1475,"csp_5_2","emp-1-6",62
1508,"csp_2_2","emp-2-2",60
1513,"csp_4_6","emp-1-6",60
1526,"csp_4_3","emp-2-1",60
1539,"csp_6_7","emp-1-5",63
1545,"csp_4_6","emp-1-6",60
1549,"csp_6_7","emp-1-6",60
1560,"csp_5_2","emp-1-5",56
1567,"csp_4_7","emp-1-6",60
1571,"csp_5_2","emp-1-6",55
1602,"csp_2_2","emp-2-1",59
1603,"csp_4_7","emp-1-6",60
1605,"csp_6_7","emp-1-6",60
1610,"csp_5_6","emp-1-6",57
1612,"csp_5_4","emp-1-6",65
1616,"csp_5_6","emp-1-6",55
1618,"csp_3_1","emp-2-1",56
1619,"csp_6_4","emp-1-6",60
1625,"csp_3_3","emp-1-6",60
1627,"csp_2_3","emp-2-2",65
1631,"csp_1_1","emp-2-1",60
1639,"csp_2_2","emp-2-1",60
1642,"csp_6_8","emp-1-6",64
1647,"csp_5_6","emp-1-6",60
1653,"csp_6_9","emp-1-6",62
1654,"csp_5_6","emp-1-5",52
1671,"csp_6_5","emp-1-6",58
1679,"csp_4_5","emp-1-6",65
1691,"csp_5_2","emp-1-6",60
1692,"csp_4_6","emp-1-6",60
1699,"csp_3_4","emp-1-6",63
1700,"csp_5_2","emp-1-6",60
1701,"csp_5_4","emp-1-6",61
1703,"csp_6_7","emp-1-6",58
1705,"csp_5_2","emp-1-6",62
1706,"csp_6_7","emp-1-6",58
1716,"csp_6_4","emp-1-6",65
1717,"csp_3_4","emp-1-6",65
1738,"csp_5_4","emp-1-6",60
1740,"csp_4_6","emp-1-6",65
1758,"csp_5_5","emp-1-6",60
1767,"csp_5_5","emp-1-6",55
1782,"csp_3_7","emp-1-6",63
1792,"csp_6_7","emp-1-6",60
1811,"csp_3_4","emp-1-6",60
1828,"csp_5_2","emp-1-6",55
1832,"csp_6_2","emp-1-6",55
1850,"csp_4_6","emp-1-6",56
1853,"csp_5_2","emp-1-6",60
1854,"csp_5_6","emp-1-6",53
1874,"csp_5_2","emp-1-6",65
1876,"csp_5_2","emp-1-6",65
1880,"csp_6_3","emp-1-6",60
1888,"csp_6_9","emp-1-6",56
1890,"csp_6_5","emp-1-6",62
1893,"csp_6_3","emp-1-6",60
1899,"csp_6_7","emp-1-6",63
1906,"csp_5_2","emp-1-6",58
1913,"csp_2_1","emp-2-2",60
1934,"csp_3_1","emp-2-1",60
1939,"csp_4_6","emp-1-6",63
1954,"csp_6_3","emp-1-6",60
1957,"csp_4_2","emp-1-5",60
1992,"csp_3_3","emp-1-6",62
2000,"csp_5_6","emp-1-6",60
2001,"csp_6_7","emp-1-6",58
