id,ECO_SECT,Before_dep,job_dep,Job_desc,type_of_contract,Labor_force_status,WORK_CONDITION,employer_type,Working_hours,EMPLOYEE_COUNT
1,"OZ","75","78","524b","CDI","O","C","ct_1",1820,"tr_5"
7,"FZ","45","45","487a","CDI","O","C","ct_9",1950,"tr_5"
28,"TZ","91","75","563a","CDI","O","N","ct_7",1275,"tr_0"
29,"OZ","77","77","621f","AUT","O","C","ct_2",1819,"tr_4"
30,"HZ","93","95","652a","CDI","O","C","ct_9",2802,"tr_5"
49,"LZ","01","01","541b","CDI","O","C","ct_9",1699,"tr_1"
52,"QA","62","62","526e","CDI","O","C","ct_9",1807,"tr_4"
56,"TZ","75","89","563c","CDI","O","C",NA,136,NA
59,"JA","78","75","478a","CDI","O","C","ct_9",2062,"tr_5"
62,"GZ","95","93","634a","CDI","O","P","ct_9",586,"tr_1"
63,"CA","29","29","674b","CDI","O","C","ct_9",1821,"tr_5"
71,"RZ","30","34","354c","CDD","O","C",NA,189,NA
74,"GZ","26","26","477a","CDI","O","C","ct_9",1517,"tr_1"
90,"NZ","21","21","673b","TTP","O","C","ct_9",646,"tr_2"
93,"CG","45","45","674d","CDI","O","C","ct_9",1483,"tr_5"
97,"GZ","59","59","551a","CDI","O","C",NA,184,NA
106,"QA","64","64","344d","CDI","O","P","ct_9",1546,"tr_4"
110,"OZ","44","44","621f","AUT","O","C","ct_2",1290,"tr_2"
130,"TZ","92","75","563a","CDI","O","N","ct_7",1829,"tr_1"
132,"FZ","68","75","542a","CDI","O","P","ct_9",1560,"tr_1"
154,"FZ",NA,NA,"632a","CDI","O","C","ct_9",1645,"tr_6"
183,"LZ","34","34","543b","CDI","O","P","ct_9",716,"tr_1"
187,"OZ","13","13","524a","CDI","O","C","ct_2",1820,"tr_6"
242,"CG","01","01","676c","CDI","O","C","ct_9",1344,"tr_3"
251,"NZ","93","78","684a","CDI","O","P","ct_9",1448,"tr_6"
259,"QB","75","75","526c","CDI","O","C","ct_8",1400,"tr_3"
270,"QA","76","76","526a","CDI","O","P",NA,138,NA
278,"OZ","75","75","524c","CDI","O","C",NA,154,NA
297,"CC","62","62","628g","CDI","O","C","ct_9",1874,"tr_4"
312,"QB","11","11","434f","CDI","O","C","ct_8",1820,"tr_2"
315,"HZ","76","19","641a","CDI","O","C","ct_9",2200,"tr_3"
316,"IZ","77","94","636d","CDI","O","P","ct_9",834,"tr_1"
320,"HZ","64","64","451a","CDI","O","P","ct_9",856,"tr_3"
326,"GZ","34","34","486d","CDI","O","C","ct_9",1568,"tr_4"
335,"FZ","49","49","681a","CDI","O","C","ct_9",669,"tr_4"
346,"FZ","80","80","632g","CDI","O","C","ct_9",745,"tr_0"
351,"FZ","83","83","481b","CDI","O","C","ct_9",1533,"tr_3"
357,"CC","91","94","461b","CDI","O","C","ct_9",1852,"tr_5"
359,"QB","22","22","525d","CDI","O","C",NA,219,NA
385,"HZ","61","61","451a","CDI","O","P","ct_9",747,"tr_2"
394,"NZ","92","93","684a","CDI","O","P","ct_9",816,"tr_6"
395,"FZ","85","85","543b","CDD","O","P","ct_9",143,"tr_0"
399,"PZ","51","51","421b","AUT","O","C","ct_2",1820,"tr_2"
412,"QB",NA,NA,"563b","AUT","O","C",NA,426,NA
416,"CC","69","69","676a","CDI","O","C","ct_9",1997,"tr_3"
418,"NZ","91","78","534a","CDI","O","C","ct_9",2005,"tr_6"
421,"IZ","60","60","643a","CDI","O","C","ct_9",367,"tr_3"
423,"TZ","93","75","563c","CDI","O","N","ct_7",735,"tr_1"
426,"MA","94","75","462e","CDI","O","P","ct_9",532,"tr_3"
479,"HZ","13","13","634c","CDI","O","C","ct_9",2028,"tr_1"
482,"NZ","76","76","632f","TTP","O","C","ct_9",1334,"tr_1"
491,"GZ","69","69","554h","CDI","O","P","ct_9",840,"tr_1"
493,"MA","34","34","684a","CDI","O","P","ct_9",713,"tr_2"
500,"GZ","35","35","551a","CDI","O","C","ct_9",1541,"tr_2"
508,"KZ","45","45","376d","CDI","O","C","ct_9",1820,"tr_1"
512,"KZ","69","69","545b","CDI","O","P","ct_9",1456,"tr_6"
513,"GZ","61","61","542a","CDI","O","P","ct_9",994,"tr_1"
526,"TZ","51","51","563c","CDI","O","P",NA,822,NA
538,"OZ","16","16","621f","CDI","O","P","ct_2",1367,"tr_1"
549,"IZ","91","75","543c","CDI","O","C","ct_9",1225,"tr_2"
566,"CL","57","57","635a","CDI","O","C","ct_9",1819,"tr_2"
567,"PZ",NA,NA,"525a","CDI","O","P","ct_8",1335,"tr_3"
568,"CF","59","59","674a","CDI","O","C","ct_9",1487,"tr_4"
582,"QB","76","76","563b","CDI","O","N","ct_7",983,"tr_1"
587,"IZ","27","27","488b","CDI","O","C","ct_9",1233,"tr_1"
591,"HZ","95","77","641a","CDI","O","C","ct_9",1466,"tr_0"
592,"NZ","10","45","684a","CDI","O","C","ct_9",2030,"tr_5"
596,"NZ","89","89","534a","CDI","O","C","ct_9",1405,"tr_1"
597,"SZ","33","33","463e","CDI","O","P","ct_9",759,"tr_1"
602,"FZ","44","44","481b","CDI","O","C","ct_9",1659,"tr_4"
604,"QB","29","29","434a","CDI","O","C","ct_8",1820,"tr_5"
609,"NZ","95","95","684a","CDI","O","P","ct_9",1857,"tr_5"
615,"QA","06","06","525d","CDI","O","C","ct_9",1991,"tr_4"
619,"HZ","09","31","641b","CDI","O","P","ct_9",516,"tr_6"
625,"NZ","59","59","684a","CDD","O","C",NA,557,"tr_1"
627,"NZ","75","94","684a","CDI","O","P","ct_9",2631,"tr_6"
646,"GZ","94","94","652a","CDI","O","C","ct_9",1617,"tr_5"
661,"NZ","34","13","684a","CDI","O","C","ct_9",1953,"tr_5"
664,"NZ","95","93","684a","CDI","O","P","ct_9",1000,"tr_6"
665,"FZ","94","78","481b","CDI","O","C","ct_9",1820,"tr_5"
676,"CA","77","94","636d","CDI","O","C","ct_9",1932,"tr_3"
683,"GZ","59","59","553c","CDD","O","C","ct_9",338,"tr_1"
686,"JB","78","92","388e","CDI","O","C","ct_9",1803,"tr_6"
688,"PZ","89","89","311d","CDI","O","P","ct_8",1774,"tr_3"
695,"QB","64","64","344b","CDI","O","P","ct_8",1740,"tr_2"
697,"CH","80","02","623a","CDI","O","C","ct_9",1641,"tr_3"
706,"OZ","91","94","333e","CDI","O","C","ct_1",2028,"tr_5"
721,"GZ","74","74","551a","CDI","O","C","ct_9",1794,"tr_5"
723,"IZ","11","11","561f","TOA","O","C","ct_9",525,"tr_1"
729,"EZ","05","05","651b","CDI","O","C","ct_9",1820,"tr_2"
748,"KZ","27","75","373d","CDI","O","C","ct_9",1937,"tr_3"
750,"CF","83","83","477b","CDI","O","C","ct_9",1555,"tr_6"
751,"QA","78","78","526a","CDI","O","C","ct_9",3000,"tr_6"
755,"FZ","13","13","632a","CDI","O","C","ct_9",2109,"tr_2"
775,"GZ","95","95","634d","CDI","O","C","ct_9",1567,"tr_5"
777,"LZ","35","35","542a","CDI","O","C","ct_9",1820,"tr_4"
789,"CA","34","34","554a","CDI","O","C","ct_9",1820,"tr_1"
790,"GZ","07","26","691e","CDI","O","C","ct_9",1458,"tr_0"
791,"CA","12","48","674c","CDI","O","C","ct_9",1288,"tr_5"
826,"MA","27","60","542a","CDI","O","C","ct_9",525,"tr_1"
849,"GZ","81","81","636a","CDI","O","C","ct_9",1394,"tr_1"
851,"QB","14","14","344b","CDI","O","C","ct_8",1214,"tr_4"
857,"HZ","72","75","534a","CDI","O","C","ct_9",2200,"tr_1"
858,"CH","80","02","623a","CDI","O","C","ct_9",1641,"tr_3"
865,"QB","64","64","543b","CDI","O","C","ct_8",1820,"tr_4"
873,"NZ","75","78","684a","CDI","O","P","ct_9",1263,"tr_5"
877,"RZ","69","69","461f","CDI","O","P","ct_9",1271,"tr_3"
879,"QB","95","95","563b","CDI","O","N","ct_7",1110,"tr_1"
