id,Annuity
1,17218
7,25593
28,11056
29,14740
30,25670
49,16609
52,18642
56,16153
59,20686
62,13976
63,16061
71,25608
74,24553
90,21104
93,11056
97,11734
106,21814
110,14759
130,11086
132,9961
154,19024
183,17665
187,26117
242,16693
251,18880
259,12755
270,21189
278,12382
297,20141
312,24367
315,18023
316,9584
320,13032
326,18015
335,8881
346,14760
351,26313
357,24413
359,14969
385,20991
394,10846
395,12012
399,23672
412,8881
416,14391
418,16058
421,25695
423,19888
426,22811
479,13978
482,18168
491,11837
493,12840
500,15261
508,35583
512,18251
513,18160
526,12149
538,11366
549,14979
566,10328
567,12883
568,11856
582,11473
587,14118
591,15750
592,13928
596,13763
597,11022
602,23421
604,21400
609,13477
615,14776
619,12211
625,11056
627,20119
646,23632
661,21280
664,10695
665,47005
676,25448
683,15197
686,32363
688,19066
695,36339
697,15986
706,31233
721,16767
723,13000
729,21915
748,32582
750,29794
751,24312
755,20063
775,17648
777,13691
789,12524
790,18451
791,26280
826,24620
849,23208
851,20118
857,21397
858,15510
865,14880
873,11056
877,22206
879,12385
882,22210
889,23595
906,21154
918,18169
920,22941
923,17234
927,25827
932,11453
935,16746
943,11056
954,14309
962,13467
980,15965
989,11396
997,23885
1011,16318
1014,19742
1024,25794
1026,16129
1035,16503
1041,12949
1047,14106
1055,10566
1064,16104
1065,15389
1066,25576
1079,24055
1081,31102
1111,18259
1113,28580
1184,13864
1190,18877
1195,13414
1223,14757
1227,15348
1229,20341
1238,17939
1271,13750
1279,29474
1292,18924
1300,11133
1328,13085
1331,12205
1334,15164
1342,19551
1345,10957
1351,17959
1361,14905
1365,21291
1369,25893
1370,15461
1375,34021
1390,32825
1421,16630
1422,14512
1431,24583
1439,11913
1441,16048
1444,32914
1469,11940
1475,13374
1513,20607
1539,13397
1545,21640
1549,15919
1560,8881
1567,32956
1571,12223
1603,26728
1605,15677
1610,11033
1612,11056
1616,16935
1619,11913
1625,32913
1642,10431
1647,19598
1653,14332
1654,14678
1671,14772
1679,15773
1691,17279
1692,20296
1699,21192
1700,15541
1701,17518
1703,24627
1705,13604
1706,19092
1716,10904
1717,37683
1738,17632
1740,12044
1758,14504
1767,15065
1782,21449
1792,22833
1811,34474
1828,13051
1832,21491
1850,20278
1853,16691
1854,12775
1874,12271
1876,14071
1880,17192
1888,24117
1890,20582
1893,22191
1899,12764
1906,20442
1939,25965
1954,20414
1957,24581
1992,32788
2000,18623
2001,14777
2002,8881
2005,21381
2007,28473
2019,24596
2023,18450
2036,23309
2037,20841
2044,20064
2046,23123
2058,15016
2059,11653
2064,24424
2066,25164
2085,19579
2088,18640
2098,12861
2105,18573
2108,11805
2115,29838
2124,27417
2128,11497
2143,18042
2166,23768
2170,12834
2172,11056
2173,21141
2182,8961
2201,19708
2205,11913
2207,17984
2210,11056
2214,11056
2216,19734
2222,30439
2223,26086
2284,20643
2314,12272
2319,11398
2334,20877
2348,29249
2360,39689
2372,32791
2384,15835
2401,21243
2402,11948
2408,15651
2413,13375
2428,19269
2429,25662
2454,15737
2461,23293
2481,19184
2482,15717
2485,13862
2486,14550
2489,30884
2498,9466
2513,13247
2515,15300
2528,11660
2533,9365
2540,15222
2541,8881
2547,26792
2548,17509
2549,34513
2551,23760
2573,12898
2583,20939
2593,31164
2599,9508
2601,19369
2606,19984
2609,11056
2619,20645
2630,23369
2632,27248
2640,30774
2656,17688
2668,14733
2670,12840
2683,26017
2685,18830
2688,30633
2700,20811
2704,16940
2707,16136
2710,25076
2715,18418
2727,11719
2731,32872
2748,15236
2751,24283
2752,15846
2762,13178
2764,14637
2768,37009
2770,16293
2772,17870
2774,16753
2780,21305
2785,36950
2801,16128
2807,17835
2814,13256
2828,15661
2847,11185
2857,15871
2858,19521
2864,28299
2869,24402
2878,24112
2881,16286
2891,12739
2894,26277
2900,14272
2910,18563
2918,21005
2919,19204
2922,17716
2930,31025
2946,27759
2967,24484
2971,14450
2975,10174
2979,18436
3000,14499
3003,26313
3009,11056
3015,18118
3022,10913
3026,14240
3033,20328
3039,15733
3043,9254
3044,26303
3046,19387
3049,21257
